currency,base_currency,currency_name,exchange_rate,date,currency_pair
PLN,EUR,Polish Zloty,4.46651,2020-07-09,EUR/PLN
JPY,EUR,Japanese Yen,136.93,2014-07-29,EUR/JPY
CNY,EUR,Chinese Yuan,8.8609,2011-09-08,EUR/CNY
TRY,EUR,Turkish Lira,17.4664,2022-06-30,EUR/TRY
JPY,EUR,Japanese Yen,157.474727,2025-02-21,EUR/JPY
GBP,EUR,British Pound Sterling,0.8755,2018-04-02,EUR/GBP
HKD,EUR,Hong Kong Dollar,10.6588,2007-04-24,EUR/HKD
SEK,EUR,Swedish Krona,10.946786,2025-12-06,EUR/SEK
SEK,EUR,Swedish Krona,11.162821,2025-08-11,EUR/SEK
MXN,EUR,Mexican Peso,24.549,2021-03-21,EUR/MXN
CZK,EUR,Czech Republic Koruna,24.2135,2022-04-04,EUR/CZK
CAD,EUR,Canadian Dollar,1.4952,2010-01-22,EUR/CAD
CAD,EUR,Canadian Dollar,1.3623,2011-12-05,EUR/CAD
GBP,EUR,British Pound Sterling,0.8794,2018-03-30,EUR/GBP
PLN,EUR,Polish Zloty,4.2076,2018-04-27,EUR/PLN
USD,EUR,United States Dollar,1.14741,2015-10-14,EUR/USD
JPY,EUR,Japanese Yen,159.11,2007-08-14,EUR/JPY
NZD,EUR,New Zealand Dollar,1.6628,2021-09-06,EUR/NZD
MXN,EUR,Mexican Peso,20.90425,2017-08-15,EUR/MXN
CHF,EUR,Swiss Franc,0.92217,2026-06-29,EUR/CHF
SGD,EUR,Singapore Dollar,1.451808,2024-01-31,EUR/SGD
MXN,EUR,Mexican Peso,20.1502,2022-12-01,EUR/MXN
CNY,EUR,Chinese Yuan,7.74375,2024-02-10,EUR/CNY
HKD,EUR,Hong Kong Dollar,11.6668,2009-12-03,EUR/HKD
SGD,EUR,Singapore Dollar,1.5774,2017-07-19,EUR/SGD
JPY,EUR,Japanese Yen,155.9,2008-02-06,EUR/JPY
GBP,EUR,British Pound Sterling,0.85663,2023-06-23,EUR/GBP
CHF,EUR,Swiss Franc,1.2309,2013-06-11,EUR/CHF
GBP,EUR,British Pound Sterling,0.73439,2015-08-25,EUR/GBP
AUD,EUR,Australian Dollar,1.58257,2018-05-15,EUR/AUD
CNY,EUR,Chinese Yuan,7.7925,2021-04-09,EUR/CNY
CZK,EUR,Czech Republic Koruna,24.363182,2025-10-08,EUR/CZK
JPY,EUR,Japanese Yen,130.492,2017-07-31,EUR/JPY
GBP,EUR,British Pound Sterling,0.6723,2007-06-20,EUR/GBP
CHF,EUR,Swiss Franc,1.6348,2007-04-06,EUR/CHF
JPY,EUR,Japanese Yen,135.24,2005-02-01,EUR/JPY
CNY,EUR,Chinese Yuan,7.987538,2026-05-12,EUR/CNY
USD,EUR,United States Dollar,1.12031,2015-01-23,EUR/USD
CAD,EUR,Canadian Dollar,1.42616,2015-11-06,EUR/CAD
USD,EUR,United States Dollar,1.3836,2010-10-05,EUR/USD
NOK,EUR,Norwegian Krone,11.929976,2025-07-25,EUR/NOK
CNY,EUR,Chinese Yuan,7.2751,2023-02-09,EUR/CNY
JPY,EUR,Japanese Yen,130.705,2018-04-03,EUR/JPY
CNY,EUR,Chinese Yuan,7.1198,2022-02-25,EUR/CNY
NZD,EUR,New Zealand Dollar,1.81092,2020-05-01,EUR/NZD
AUD,EUR,Australian Dollar,1.9829,2009-01-22,EUR/AUD
JPY,EUR,Japanese Yen,110.57,2012-03-30,EUR/JPY
USD,EUR,United States Dollar,1.0549,2023-03-07,EUR/USD
NOK,EUR,Norwegian Krone,9.65985,2018-04-29,EUR/NOK
ZAR,EUR,South African Rand,15.8,2019-04-19,EUR/ZAR
MXN,EUR,Mexican Peso,21.490324,2025-09-28,EUR/MXN
HKD,EUR,Hong Kong Dollar,8.62539,2024-08-31,EUR/HKD
CNY,EUR,Chinese Yuan,7.8995,2018-11-06,EUR/CNY
PLN,EUR,Polish Zloty,4.2283,2020-01-16,EUR/PLN
CAD,EUR,Canadian Dollar,1.609159,2025-09-04,EUR/CAD
CHF,EUR,Swiss Franc,1.3326,2010-08-16,EUR/CHF
PLN,EUR,Polish Zloty,4.201611,2025-03-29,EUR/PLN
NZD,EUR,New Zealand Dollar,1.70503,2020-02-11,EUR/NZD
TRY,EUR,Turkish Lira,38.146494,2025-02-24,EUR/TRY
CAD,EUR,Canadian Dollar,1.6058,2005-03-15,EUR/CAD
JPY,EUR,Japanese Yen,120.64,2016-06-23,EUR/JPY
