deal_id,client_id,client_segment,product_type,currency_pair,buy_sell,notional,exchange_rate,market_rate_date,request_channel,request_time,quote_time,client_accept_time,limit_check_time,trade_capture_time,confirmation_time,settlement_time,deal_status,manual_processing_flag,manual_steps_count,rework_count,exception_type,rejection_reason,sla_minutes,sla_breach
FXS-0000001,C00333,large_corporate,FX Spot,EUR/USD,sell,273000.0,1.083364,2024-02-24,phone,2024-02-24 08:53:00,2024-02-24 09:02:54,2024-02-24 09:41:29,2024-02-24 11:03:20,2024-02-24 11:36:06,2024-02-24 12:16:09,2024-02-24 12:27:22,settled,True,6,0,limit_delay,none,180,True
FXS-0000002,C00499,mid_corporate,FX Spot,EUR/ZAR,sell,1553000.0,18.944389,2026-06-03,email,2026-06-03 15:44:00,2026-06-03 16:02:08,2026-06-03 16:38:21,2026-06-03 17:33:13,2026-06-03 18:00:16,2026-06-03 18:02:39,2026-06-03 18:26:45,settled,True,4,0,limit_delay,none,240,False
FXS-0000003,C00789,financial_institution,FX Spot,EUR/JPY,sell,4447800.0,165.33,2007-10-29,email,2007-10-29 14:32:00,2007-10-29 14:43:47,2007-10-29 14:48:17,2007-10-29 14:59:05,2007-10-29 15:10:59,2007-10-29 15:16:31,2007-10-29 16:00:45,settled,True,6,0,none,none,150,False
FXS-0000004,C00465,large_corporate,FX Spot,EUR/USD,buy,1059000.0,1.09993,2015-12-14,e_fx_portal,2015-12-14 12:23:00,2015-12-14 12:25:51,2015-12-14 12:32:17,2015-12-14 12:37:05,2015-12-14 12:41:27,2015-12-14 12:45:14,2015-12-14 13:09:03,settled,False,0,0,none,none,180,False
FXS-0000005,C00713,large_corporate,FX Spot,EUR/CNY,sell,579000.0,8.318682,2025-08-06,phone,2025-08-06 12:19:00,2025-08-06 12:53:35,2025-08-06 12:57:53,2025-08-06 13:11:25,2025-08-06 13:24:25,2025-08-06 13:35:28,2025-08-06 14:01:59,settled,True,4,0,none,none,180,False
FXS-0000006,C00298,mid_corporate,FX Spot,EUR/USD,buy,1076000.0,1.10447,2019-09-19,email,2019-09-19 16:35:00,2019-09-19 16:36:38,2019-09-19 17:06:11,2019-09-19 17:12:24,2019-09-19 17:19:04,2019-09-19 17:26:42,2019-09-19 18:00:39,settled,False,1,0,none,none,240,False
FXS-0000007,C00699,financial_institution,FX Spot,EUR/DKK,buy,1789200.0,7.4546,2018-03-29,email,2018-03-29 08:51:00,2018-03-29 08:56:16,2018-03-29 09:01:42,2018-03-29 09:07:39,2018-03-29 09:13:25,2018-03-29 09:19:51,2018-03-29 09:55:42,settled,False,1,0,none,none,150,False
FXS-0000008,C00675,mid_corporate,FX Spot,EUR/CNY,sell,1811000.0,7.814,2014-10-08,messenger,2014-10-08 14:58:00,2014-10-08 15:04:53,2014-10-08 15:12:42,2014-10-08 15:17:26,2014-10-08 16:53:32,2014-10-08 17:36:57,2014-10-08 18:05:26,settled,True,8,1,none,none,240,False
FXS-0000009,C00552,mid_corporate,FX Spot,EUR/TRY,sell,376000.0,33.087613,2024-02-11,phone,2024-02-11 10:00:00,2024-02-11 10:13:38,2024-02-11 10:36:40,2024-02-11 10:37:40,2024-02-11 11:52:33,2024-02-11 11:54:15,2024-02-11 12:43:52,settled,True,4,1,incomplete_ssi,none,240,False
FXS-0000010,C00778,mid_corporate,FX Spot,EUR/CNY,sell,447000.0,7.8852,2018-11-21,phone,2018-11-21 08:56:00,2018-11-21 09:09:23,2018-11-21 09:44:02,2018-11-21 09:50:52,2018-11-21 11:15:39,2018-11-21 11:17:15,2018-11-21 11:38:47,settled,True,8,2,none,none,240,False
